Entidad Federativa,Municipio,No de Permiso,Nombre de la gasolinera,Dirección
Ciudad de Mexico,Iztapalapa,PL/5926/EXP/ES/2015,RÍO TUERTO S.A. DE C.V.,Prolongación Arneses No. 549
Ciudad de Mexico,Iztapalapa,PL/631/EXP/ES/2015,GASOLINERÍA MAGNOLIAS S.A. DE C.V.,Vialidad Principal Lt. 1 Circuito Fruta Y Legumbres
Ciudad de Mexico,Iztapalapa,PL/6331/EXP/ES/2015,SERVICIOS SANTA MARÍA S. DE R. L. DE C. V.,Avenida Guelatao No. 220
Ciudad de Mexico,Iztapalapa,PL/6334/EXP/ES/2015,ESTACIÓN DE SERVICIO Y GASOLINERIA IGNACIO ZARAGOZA S.A. DE C.V.,Calzada Ignacio Zaragoza No. 2583
Ciudad de Mexico,Iztapalapa,PL/6337/EXP/ES/2015,GASOLINERA ALFA S.A. DE C.V.,Calzada Ignacio Zaragoza No. 2370
Ciudad de Mexico,Iztapalapa,PL/6485/EXP/ES/2015,SERVICIO GARAY S.A. DE C.V.,Calle Benito Juárez No. 1
Ciudad de Mexico,Iztapalapa,PL/6684/EXP/ES/2015,"OPERADORA DE MINIESTACIONES COMBUSERV, S.A. DE C.V",Calzada Javier Rojo Gomez No. 492
Ciudad de Mexico,Iztapalapa,PL/6691/EXP/ES/2015,"OPERADORA DE MINIESTACIONES COMBUSERV, S.A. DE C.V",Calzada Ermita Iztapalapa No. 3048
Ciudad de Mexico,Iztapalapa,PL/6692/EXP/ES/2015,"ESTACIÓN DE CARGA VÍA LÁCTEA, S.A. DE C.V.",Calzada Ermita Iztapalapa No. 2710
Ciudad de Mexico,Iztapalapa,PL/6789/EXP/ES/2015,SERVICIO MORENO PLUTARCO S. A.,Avenida Plutarco Elias Calles No. 1918
Ciudad de Mexico,Iztapalapa,PL/6946/EXP/ES/2015,GAS ACATITLA S.A. DE C.V.,Calzada Ignacio Zaragoza No. 2995
Ciudad de Mexico,Iztapalapa,PL/695/EXP/ES/2015,INMOBILIARIA RAVS S.A. DE C.V.,Del Circuito de Frutas Y Verduras Mz. 11 Lt. 11
Ciudad de Mexico,Iztapalapa,PL/7405/EXP/ES/2015,ESTACIÓN DE CARGA VÍA LÁCTEA S.A. DE C.V.,Mz. 12 Area de Servicios Complementarios
Ciudad de Mexico,Iztapalapa,PL/7740/EXP/ES/2015,INMOBILIARIA TERMINAL DE CARGA ORIENTE S.A. DE C.V.,Avenida Transportistas No. 15 Condominio Rojolts. 123 Y 4.
Ciudad de Mexico,Iztapalapa,PL/855/EXP/ES/2015,SERVICIO GEYSER S.A. DE C.V.,Calle Francisco Villar No. 19
Ciudad de Mexico,Iztapalapa,PL/8696/EXP/ES/2015,SERVICIO TULCINGO S.A. DE C.V.,Avenida Tlahuac No. 1742
Ciudad de Mexico,Iztapalapa,PL/8925/EXP/ES/2015,CORPORACIÓN GASOLINERA MILLENIUM S.A. DE C.V.,Tolteca No. 69 Eje 4 Oriente
Ciudad de Mexico,Iztapalapa,PL/8926/EXP/ES/2015,CORPORACIÓN GASOLINERA MILLENIUM S.A. DE C.V.,Calzada Ermita Iztapalapa No. 3389
Ciudad de Mexico,Iztapalapa,PL/919/EXP/ES/2015,SERVICIO MIRLO S.A. DE C.V.,Avenida Canal de Tezontle No. 4
Ciudad de Mexico,Iztapalapa,PL/985/EXP/ES/2015,LA VICENTINA S.A. DE C.V.,Avenida Jalisco No. 75
Ciudad de Mexico,La Magdalena Contreras,PL/10758/EXP/ES/2015,FRANCISCO GUERRERRO ORTEGA,Avenida San Jeronimo No. 914
Ciudad de Mexico,Miguel Hidalgo,PL/10346/EXP/ES/2015,SERVICIO EL PRIETO S. A.,San Bartolo Naucalpan No. 377
Ciudad de Mexico,Miguel Hidalgo,PL/1110/EXP/ES/2015,GRUPO DISTRIBUIDOR ASOCIADO DE ENERGÉTICOS S.A. DE C.V.,Avenida Patriotismo No. 191
Ciudad de Mexico,Miguel Hidalgo,PL/1142/EXP/ES/2015,SERVICIO LOMAS DE SOTELO S.A. DE C.V.,Avenida Lomas de Sotelo No. 1103
Ciudad de Mexico,Miguel Hidalgo,PL/1444/EXP/ES/2015,"GPDC Estaciones de Servicio, S. A. DE C. V.",Avenida Ejército Nacional No. 125
Ciudad de Mexico,Miguel Hidalgo,PL/1511/EXP/ES/2015,SERVICIOS AVENIDA S.A. DE C.V.,Marina Nacional No. 204
Ciudad de Mexico,Miguel Hidalgo,PL/21363/EXP/ES/2018,"ESTACIÓN DE SERVICIO BOLONIA, S.A. DE C.V.",BOULEVARD ADOLFO LÓPEZ MATEOS 112
Ciudad de Mexico,Miguel Hidalgo,PL/2429/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,José Iturrigaray No. 110
Ciudad de Mexico,Miguel Hidalgo,PL/24410/EXP/ES/2022,"CR 88, S.A.P.I. DE C.V.","Avenida Río San Joaquín, No. 5976, Esq. Lago Ginebra"
Ciudad de Mexico,Miguel Hidalgo,PL/3211/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Protasio Tagle No. 2 Y 4 Esquina Maderos
Ciudad de Mexico,Miguel Hidalgo,PL/3384/EXP/ES/2015,SERVICIO ANZURES S.A. DE C.V.,Bahia de Santa Barbara No. 182
Ciudad de Mexico,Miguel Hidalgo,PL/3520/EXP/ES/2015,SERVICIO ARENAS S.A. DE C.V.,Parque Lira No. 137
Ciudad de Mexico,Miguel Hidalgo,PL/5299/EXP/ES/2015,SERVICIO HERMANOS SILVA S.A. DE C.V.,Lago Hielmar No. 1 Esquina Naur
Ciudad de Mexico,Miguel Hidalgo,PL/5658/EXP/ES/2015,SERVICIO PATZCUARO S.A. DE C.V.,Laguna de Terminos No. 516
Ciudad de Mexico,Miguel Hidalgo,PL/6366/EXP/ES/2015,"FUENTE DE CARGA PREFECTA , S.A. DE C.V.",Avenida Marina Nacional No. 191
Ciudad de Mexico,Miguel Hidalgo,PL/6683/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,José Marti No. 210 Y Prosperidad
Ciudad de Mexico,Miguel Hidalgo,PL/6723/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Carlos B. Zetina No. 117 Y José Marti
Ciudad de Mexico,Miguel Hidalgo,PL/6751/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Lago Argentina No. 7
Ciudad de Mexico,Miguel Hidalgo,PL/6938/EXP/ES/2015,OPERADORA MÉXICO TACUBA S.A. DE C.V.,Calzada México Tacuba No. 610
Ciudad de Mexico,Miguel Hidalgo,PL/7057/EXP/ES/2015,GRUPO GASOLINERO DAT S. A. P. I. DE C. V.,Avenida Constituyentes No. 373
Ciudad de Mexico,Miguel Hidalgo,PL/7804/EXP/ES/2015,SERVICIO CONSCRIPTO S.A. DE C.V.,Avenida del Conscripto No. 1
Ciudad de Mexico,Miguel Hidalgo,PL/7805/EXP/ES/2015,SERVICIO NAVARRO S.A. DE C.V.,Boulevard Manuel Avila Camacho No. 103
Ciudad de Mexico,Miguel Hidalgo,PL/7904/EXP/ES/2015,SERVICIOS FELUSA S.A. DE C.V.,Avenida Revolución No. 267
Ciudad de Mexico,Miguel Hidalgo,PL/8275/EXP/ES/2015,HIDROSINA PLUS S. A. P. I. DE C. V.,Mar Mediterraneo Y Okostsk
Ciudad de Mexico,Miguel Hidalgo,PL/843/EXP/ES/2015,GASOLINERIA LOMALINDA 0194 S.A. DE C.V.,Paseo de La Reforma No. 1005
Ciudad de Mexico,Miguel Hidalgo,PL/8538/EXP/ES/2015,NACIONAL DE COMBUSTIBLES Y LUBRICANTES S.A. DE C.V.,Golfo de Riga No. 7
Ciudad de Mexico,Miguel Hidalgo,PL/8916/EXP/ES/2015,GASOTANNY S.A. DE C.V.,Calzada Legaria No. 211
Ciudad de Mexico,Miguel Hidalgo,PL/978/EXP/ES/2015,ESTACIÓN DE SERVICIO GAALBO S.A. DE C.V.,Mariano Escobedo No. 177 Esquina Con Laguna de Términos
Ciudad de Mexico,Miguel Hidalgo,PL/982/EXP/ES/2015,APROVECHAMIENTOS Y SERVICIOS S.A. DE C.V.,Presa Don Martin No. 71
Ciudad de Mexico,Miguel Hidalgo,PL/990/EXP/ES/2015,SERVICIO PERIVIA S.A. DE C.V.,Manuel Dublan No. 53
Ciudad de Mexico,Milpa Alta,PL/13126/EXP/ES/2016,INMOBILIARIA MILLOALTO S.A. DE C.V.,Boulevard José López Portillo No. 657-B
Ciudad de Mexico,Milpa Alta,PL/5072/EXP/ES/2015,OLESMA S.A. DE C.V.,Avenida Nuevo Leon No. 167
Ciudad de Mexico,Tlahuac,PL/1002/EXP/ES/2015,SERVICIO CIPRESES S.A. DE C.V.,Avenida Tláhuac No. 5243
Ciudad de Mexico,Tlahuac,PL/21555/EXP/ES/2018,"SERVICIO EJE 10 SUR DIAMANTE, S.A. DE C.V.",EJE 10 SUR No. 1676
Ciudad de Mexico,Tlahuac,PL/2978/EXP/ES/2015,ESTEFANIA PÉREZ RUIZ,Avenida Tlahuac No. 5927
Ciudad de Mexico,Tlahuac,PL/4519/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Calzada Tulyehualco No. 5661
Ciudad de Mexico,Tlahuac,PL/6540/EXP/ES/2015,GASOLINERÍA MIRAMONTES S.A. DE C.V.,Avenida Tlahuac No. 7081
Ciudad de Mexico,Tlahuac,PL/8651/EXP/ES/2015,SERVICIO JAVIER MEZA S.A. DE C.V.,Avenida Tlahuac No. 8308
Ciudad de Mexico,Tlalpan,PL/1138/EXP/ES/2015,SERVICIO PERIFÉRICO ARENAL S.A. DE C.V.,Periférico Sur No. 4991
Ciudad de Mexico,Tlalpan,PL/11487/EXP/ES/2015,SERVICIO GRANSUR S.A. DE C.V.,Boulevard Adolfo Ruiz Cortinez No. 5499
Ciudad de Mexico,Tlalpan,PL/2143/EXP/ES/2015,SERVICIO ROBLEDO S.A. DE C.V.,Calzada del Hueso No. 971
Ciudad de Mexico,Tlalpan,PL/2198/EXP/ES/2015,SERVICIO EL NUEVO PEDREGAL S.A. DE C.V.,Boulevard Adolfo Ruiz Cortines No. 5453 Esquina 12a Oriente
Ciudad de Mexico,Tlalpan,PL/22909/EXP/ES/2019,"SERVICIO RESERVA AJUSCO, S.A. DE C.V.",Avenida México-Ajusco No. 621
Ciudad de Mexico,Tlalpan,PL/24006/EXP/ES/2022,"SERVICIO EL NUEVO PEDREGAL, S.A. DE C.V.","Boulevard Adolfo Ruiz Cortines (Periferico Sur), número 5185"
Ciudad de Mexico,Tlalpan,PL/25048/EXP/ES/2023,"GASOLINERIA DEL FUTURO, S.A. DE C.V.",Av. México Ajusco Número 13
Ciudad de Mexico,Tlalpan,PL/25652/EXP/ES/2024,COMBUSTIBLES ALCANTARA S.A. DE C.V.,GONZALO GARITA NÚMERO 1
Ciudad de Mexico,Tlalpan,PL/2594/EXP/ES/2015,SERVICIO MENA S.A. DE C.V.,Periférico Sur No. 4813
Ciudad de Mexico,Tlalpan,PL/2996/EXP/ES/2015,PIROTE S.A. DE C.V.,Carretera Federal a Cuernavaca No. 5100
Ciudad de Mexico,Tlalpan,PL/3856/EXP/ES/2015,INN NUEVA YORK S.A. DE C.V.,Boulevard Picacho Ajusco No. 4
Ciudad de Mexico,Tlalpan,PL/4649/EXP/ES/2015,"SOLUCIONES P&L, S.A.P.I. DE C. V.",Carretera Picacho Ajusco No. 914
Ciudad de Mexico,Tlalpan,PL/4714/EXP/ES/2015,Soluciones P&L S. A. P. I. de C. V.,Carretera Picacho Ajusco No. 537
Ciudad de Mexico,Tlalpan,PL/6546/EXP/ES/2015,VIMA OL S.A. DE C.V.,Calle de La Cruz Blanca N0 515
Ciudad de Mexico,Tlalpan,PL/662/EXP/ES/2015,GASOLINERÍA COLEGIO MILITAR S.A. DE C.V.,Autopista México Cuernavaca No. 4367
Ciudad de Mexico,Tlalpan,PL/694/EXP/ES/2015,OPERADORA STA. ELENA S.A. DE C.V.,Prolongación Guadalupe Victoria No. 79
Ciudad de Mexico,Tlalpan,PL/7149/EXP/ES/2015,ESTACIÓN DE SERVICIO 0210 S.A. DE C.V.,Calzada de Tlalpan No. 4342
Ciudad de Mexico,Tlalpan,PL/7851/EXP/ES/2015,NACIONAL DE COMBUSTIBLES Y LUBRICANTES S.A. DE C.V.,Tizmin No. 121
Ciudad de Mexico,Tlalpan,PL/821/EXP/ES/2015,GASOLINERÍA MÉXICO - AJUSCO 1 S.A. DE C.V.,Avenida Hidalgo No. 83
Ciudad de Mexico,Tlalpan,PL/9009/EXP/ES/2015,NEPSOL S.A. DE C.V.,Avenida San Fernando No. 44
Ciudad de Mexico,Tlalpan,PL/9611/EXP/ES/2015,SERVICIOS SAN NICOLAS S.A. DE C.V.,Tetiz No. 280
Ciudad de Mexico,Tlalpan,PL/9669/EXP/ES/2015,SERVICIO 5441 S.A. DE C.V.,Carretera Picacho - Ajusco No. 745
Ciudad de Mexico,Tlalpan,PL/975/EXP/ES/2015,UNIDAD LEO S. A.,Insurgentes Sur No. 4767
Ciudad de Mexico,Tlalpan,PL/981/EXP/ES/2015,SÚPER SERVICIO COAPA S.A. DE C.V.,Acoxpa No. 722
Ciudad de Mexico,Venustiano Carranza,PL/1000/EXP/ES/2015,ESTACIÓN DE SERVICIO NUEVO MILENIO S.A. DE C.V.,Calle Norte 180 No. 574
Ciudad de Mexico,Venustiano Carranza,PL/10207/EXP/ES/2015,JOSÉ IGNACIO BERRONDO AVALOS,Francisco Espejel No. 2
Ciudad de Mexico,Venustiano Carranza,PL/10284/EXP/ES/2015,SERVICIO CIUDAD DEPORTIVA S.A. DE C.V.,Avenida Rio de La Piedad No. 156 Y Calle 47
Ciudad de Mexico,Venustiano Carranza,PL/1035/EXP/ES/MM/2015,SERVICIO MACARMEX S. A.,Avenida del Peñón No. 30
Ciudad de Mexico,Venustiano Carranza,PL/1063/EXP/ES/2015,PERSIMOBILE S.A. DE C.V.,Avenida Ing. Eduardo Molina No. 422
Ciudad de Mexico,Venustiano Carranza,PL/1099/EXP/ES/2015,FIGUER GAS S.A. DE C.V.,Héroes de Nacozari No. 54
Ciudad de Mexico,Venustiano Carranza,PL/1173/EXP/ES/2015,SERVICIO BOTURINI S.A. DE C.V.,Lorenzo Boturini No. 479
Ciudad de Mexico,Venustiano Carranza,PL/1229/EXP/ES/2015,SERVICIO CONSULADO S.A. DE C.V.,Rupias No. 100
Ciudad de Mexico,Venustiano Carranza,PL/12734/EXP/ES/2015,INMOBILIARIA RÍO CONSULADO S.A. DE C.V.,Avenida Rio Consulado No. 2071
Ciudad de Mexico,Venustiano Carranza,PL/1307/EXP/ES/2015,SERVICIO RAGGAS S.A. DE C.V.,Avenida 16 No. 13
Ciudad de Mexico,Venustiano Carranza,PL/1309/EXP/ES/2015,"TOTAL MEXICO, S.A. DE C.V.",Avenida Río Consulado No. 2884
Ciudad de Mexico,Venustiano Carranza,PL/1401/EXP/ES/2015,"OPERADORA DE ESTACIONES GL, S.A. DE C.V.",Fray Servando Teresa de Mier No. 965
Ciudad de Mexico,Venustiano Carranza,PL/1419/EXP/ES/2015,"ESTACIÓN DE SERVICIO LAZIO, S.A. DE C.V.",Alberto Santos Dumont No. 192
Ciudad de Mexico,Venustiano Carranza,PL/1627/EXP/ES/2015,ADMINISTRADORA BOTURINI S.A. DE C.V.,Lorenzo Boturini No. 362
Ciudad de Mexico,Venustiano Carranza,PL/2368/EXP/ES/2015,OPERADORA LA PIEDAD S.A. DE C.V.,Avenida Rio de La Piedad No. 1048
Ciudad de Mexico,Venustiano Carranza,PL/24028/EXP/ES/2022,"INMOBILIARIA ESMAGAS, S.A. DE C.V.",Blvd. Puerto Aéreo No. 135
Ciudad de Mexico,Venustiano Carranza,PL/2472/EXP/ES/2015,SERVICIO MADERO S.A. DE C.V.,Labradores No. 102
Ciudad de Mexico,Venustiano Carranza,PL/3201/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,General Anaya No. 175
Ciudad de Mexico,Venustiano Carranza,PL/4133/EXP/ES/2015,SERVICIO NORTE S.A. DE C.V.,Avenida Canal del Norte No. 156
Ciudad de Mexico,Venustiano Carranza,PL/4943/EXP/ES/2015,GRUPO GENDE S.A. DE C.V.,Avenida del Trabajo No. 60
Ciudad de Mexico,Venustiano Carranza,PL/5461/EXP/ES/2015,ESTACIONES ESCOLOGICAS DE SERVICIOS S.A. DE C.V.,Boulevard Puerto Aereo No. 272
Ciudad de Mexico,Venustiano Carranza,PL/5495/EXP/ES/2015,ESTACIONES ESCOLOGICAS DE SERVICIOS S.A. DE C.V.,Calzada Ignacio Zaragoza No. 212
Ciudad de Mexico,Venustiano Carranza,PL/5881/EXP/ES/2015,SERVICIO DELORRE S.A. DE C.V.,H. Congreso de La Unión No. 22
Ciudad de Mexico,Venustiano Carranza,PL/7717/EXP/ES/2015,AEROPUERTOS Y SERVICIOS AUXILIARES,Avenida Carlos Leon Aeropuerto Internacional Cd. México
Ciudad de Mexico,Venustiano Carranza,PL/7800/EXP/ES/2015,COMERCIAL ULISES S.A. DE C.V.,Calzada Ignacio Zaragoza No. 753
Ciudad de Mexico,Venustiano Carranza,PL/8147/EXP/ES/2015,"GPDC Estaciones de Servicio, S. A. DE C. V.",Avenida Rio Consulado No. 2011
Ciudad de Mexico,Venustiano Carranza,PL/8151/EXP/ES/2015,INMOBILIARIA LOS REYES FIASA S.A. DE C.V.,Boulevard Puerto Aereo No. 134
Ciudad de Mexico,Venustiano Carranza,PL/8462/EXP/ES/2015,ESTACIÓN LA LAGUNA S.A. DE C.V.,Calzada Pena Y Pena No. 86
Ciudad de Mexico,Venustiano Carranza,PL/8770/EXP/ES/2015,ESTACIÓN DE SERVICIOS PARA AUTOS CIRCUITO S.A. DE C.V.,Avenida Rio Consulado No. 2955
Ciudad de Mexico,Venustiano Carranza,PL/8939/EXP/ES/2015,CORPORACIÓN GASOLINERA MILLENIUM S.A. DE C.V.,José Juaquin Herrera No. 110
Ciudad de Mexico,Venustiano Carranza,PL/9015/EXP/ES/2015,OCTANT S.A. DE C.V.,Avenida Oceania No. 235
Ciudad de Mexico,Xochimilco,PL/19018/EXP/ES/2016,ADMINISTRADORA DE GASOLINERAS XOCHIMILCO S.A. DE C.V.,Avenida Prolongación División del Norte No. 5322
Ciudad de Mexico,Xochimilco,PL/22554/EXP/ES/MM/2019,"CONTROL MOBILE S.O.S., S.A. DE C.V.",PROLONGACION DIVISION DEL NORTE SIN NUMERO PB
Ciudad de Mexico,Xochimilco,PL/4218/EXP/ES/2015,"SERVICIO PEÑA LABRA, S.A. DE C.V.",Periférico Sur No. 7421
Ciudad de Mexico,Xochimilco,PL/4966/EXP/ES/2015,ERNESTO AGUILAR CORDERO,Calzada Xochimilco Tulyehualco No. 58
Ciudad de Mexico,Xochimilco,PL/5277/EXP/ES/2015,SERVICIO CUEXOCH S.A. DE C.V.,Periférico Sur No. 7685
Ciudad de Mexico,Xochimilco,PL/691/EXP/ES/2015,GASOLINERIA MALLORCA S.A. DE C.V.,Avenida Aquiles Serdán No. 238
Ciudad de Mexico,Xochimilco,PL/6979/EXP/ES/2015,SERVICIO TULYEHUALCO S.A. DE C.V.,Francisco I. Madero No. 369
Ciudad de Mexico,Xochimilco,PL/8706/EXP/ES/2015,GASOLINERIAS PS S.A. DE C.V.,Avenida Guadalupe I Ramirez No. 351
Ciudad de Mexico,Xochimilco,PL/918/EXP/ES/2015,INMOBILIARIA TEPEPAN S.A. DE C.V.,La Noria